-nan	-nan
-nan	nan
-2.191616	1.146297
-2.191616	-1.146297
-1.819430	1.192756
-1.819430	-1.192756
-1.165807	1.171380
-1.165807	-1.171380
-0.437840	0.976616
-0.437840	-0.976616
-1.166501	1.171473
-1.166501	-1.171473
-1.352663	1.190788
-1.352663	-1.190788
-2.107722	1.160689
-2.107722	-1.160689
-1.060239	1.155473
-1.060239	-1.155473
0.327094	0.321048
0.327094	-0.321048
-2.700514	1.001994
-2.700514	-1.001994
0.355880	0.250663
0.355880	-0.250663
-3.161363	0.749915
-3.161363	-0.749915
-0.245015	0.882636
-0.245015	-0.882636
0.399464	0.027779
0.399464	-0.027779
0.042420	0.684752
0.042420	-0.684752
-0.926034	1.129813
-0.926034	-1.129813
-1.971061	1.179166
-1.971061	-1.179166
-2.836900	0.942989
-2.836900	-0.942989
-3.402052	0.520518
-3.402052	-0.520518
-3.600000	0.000000
-3.600000	-0.000000
-3.392825	0.531865
-3.392825	-0.531865
-2.775143	0.971007
-2.775143	-0.971007
-1.805548	1.193646
-1.805548	-1.193646
-0.671941	1.062984
-0.671941	-1.062984
0.223412	0.493012
0.223412	-0.493012
0.289605	0.393169
0.289605	-0.393169
-0.955779	1.136043
-0.955779	-1.136043
-3.473201	0.420478
-3.473201	-0.420478
0.234002	0.478661
0.234002	-0.478661
0.399886	0.012836
0.399886	-0.012836
0.010765	0.711307
0.010765	-0.711307
-3.106430	0.789329
-3.106430	-0.789329
-1.966093	1.179725
-1.966093	-1.179725
-0.638935	1.052372
-0.638935	-1.052372
-3.127534	0.774591
-3.127534	-0.774591
-0.636684	1.051631
-0.636684	-1.051631
0.360337	0.237798
0.360337	-0.237798
0.188269	0.537358
0.188269	-0.537358
-0.565259	1.026914
-0.565259	-1.026914
-1.427853	1.195547
-1.427853	-1.195547
-2.189354	1.146716
-2.189354	-1.146716
-2.782350	0.967852
-2.782350	-0.967852
-3.200057	0.719954
-3.200057	-0.719954
-3.458709	0.443025
-3.458709	-0.443025
-3.581540	0.162665
-3.581540	-0.162665
-3.592331	0.104985
-3.592331	-0.104985
-3.513070	0.349942
-3.513070	-0.349942
-3.363322	0.566260
-3.363322	-0.566260
-3.160262	0.750740
-3.160262	-0.750740
-2.918956	0.902069
-2.918956	-0.902069
-2.652680	1.020329
-2.652680	-1.020329
-2.373250	1.106685
-2.373250	-1.106685
-2.091344	1.163224
-2.091344	-1.163224
-1.816841	1.192926
-1.816841	-1.192926
-1.559300	1.199751
-1.559300	-1.199751
-1.328741	1.188912
-1.328741	-1.188912
-1.137269	1.167440
-1.137269	-1.167440
-1.003022	1.145296
-1.003022	-1.145296
-0.961440	1.137192
-0.961440	-1.137192
-1.104524	1.162593
-1.104524	-1.162593
-1.753088	1.196479
-1.753088	-1.196479
-3.599934	0.009708
-3.599934	-0.009708
